sample,0.011482,0.013183,0.015136,0.017378,0.019953,0.022909,0.026303,0.0302,0.034674,0.039811,0.045709,0.052481,0.060256,0.069183,0.079433,0.091201,0.104713,0.120226,0.138038,0.158489,0.18197,0.20893,0.239883,0.275423,0.316228,0.363078,0.416869,0.47863,0.549541,0.630957,0.724436,0.831764,0.954993,1.096478,1.258925,1.44544,1.659587,1.905461,2.187762,2.511886,2.884031,3.311311,3.801894,4.365158,5.011872,5.754399,6.606934,7.585776,8.709636,10,11.481536,13.182567,15.135612,17.378008,19.952623,22.908677,26.30268,30.199517,34.673685,39.810717,45.708819,52.480746,60.255959,69.183097,79.432823,91.201084,104.712855,120.226443,138.038426,158.489319,181.970086,208.929613,239.883292,275.42287,316.227766,363.078055,416.869383,478.630092,549.540874,630.957344,724.43596,831.763771,954.992586,1096.478196,1258.925412,1445.439771,1659.586907,1905.460718,2187.761624,2511.886432,2884.031503,3311.311215,3801.893963,4365.158322,5011.872336,5754.399373,6606.93448,7585.77575,8709.6359,10000
86 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10342,0.223965,0.341782,0.415656,0.467528,0.489807,0.494572,0.492599,0.498721,0.526303,0.585127,0.677441,0.798904,0.937779,1.077613,1.20256,1.302475,1.383726,1.471938,1.6215,1.902405,2.403569,3.173463,4.251763,5.546444,6.952379,8.223104,9.148092,9.50118,9.171283,8.17444,6.650848,4.854969,3.063965,1.516275,0.352405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104514,0.214794,0.315191,0.369841,0.402887,0.414271,0.423795,0.451114,0.51918,0.643685,0.830823,1.067018,1.32431,1.561561,1.736075,1.815791,1.789423,1.67622,1.532752,1.446712,1.530402,1.898528,2.618137,3.724993,5.107042,6.631113,8.015564,9.026769,9.42453,9.101716,8.089954,6.550115,4.755638,2.990013,1.491856,0.397528,0.006145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13436,0.270059,0.400581,0.481443,0.538188,0.565135,0.579407,0.597274,0.640029,0.724669,0.860961,1.042094,1.246873,1.440324,1.584621,1.652126,1.636606,1.563476,1.494964,1.524695,1.761474,2.3124,3.215365,4.474406,5.930473,7.415956,8.632965,9.35669,9.395606,8.703203,7.385275,5.658249,3.812501,2.139387,0.818274,0.009892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090659,0.195805,0.295317,0.354132,0.393977,0.411801,0.422616,0.440054,0.480302,0.553949,0.664168,0.800583,0.943276,1.06473,1.137873,1.145144,1.088108,0.994766,0.926276,0.972618,1.239718,1.83783,2.812589,4.184623,5.804517,7.513722,8.99674,10.004764,10.297435,9.786856,8.538893,6.761076,4.743957,2.838825,1.245845,0.016454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143251,0.308191,0.47535,0.577423,0.637016,0.645081,0.623873,0.600703,0.612633,0.700332,0.905708,1.257813,1.761636,2.376565,3.019315,3.586744,3.976916,4.133373,4.056054,3.814554,3.537985,3.367057,3.431554,3.810018,4.486094,5.37355,6.249548,6.880216,7.030019,6.588902,5.605696,4.26431,2.835899,1.579959,0.651053,0.095608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108423,0.217433,0.320954,0.383705,0.427218,0.448023,0.460621,0.477649,0.513717,0.577176,0.668049,0.772751,0.868402,0.926629,0.922844,0.846113,0.711005,0.562902,0.486098,0.594248,1.009566,1.849479,3.133628,4.84521,6.755925,8.639397,10.115426,10.914207,10.831352,9.85374,8.163178,6.053978,3.901325,2.018843,0.614731,0.006055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134761,0.23596,0.327961,0.379707,0.409329,0.414527,0.40872,0.405153,0.418833,0.460424,0.533201,0.628725,0.729815,0.813051,0.855627,0.843008,0.777436,0.683641,0.615555,0.652675,0.890521,1.432042,2.327344,3.610984,5.165691,6.868701,8.438829,9.64691,10.239864,10.094756,9.215852,7.738938,5.924766,4.04846,2.373442,1.097122,0.148405,0.009265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116895,0.25481,0.398716,0.492224,0.553141,0.572159,0.566534,0.557649,0.576173,0.656102,0.832954,1.13185,1.559657,2.087867,2.654398,3.181224,3.589505,3.837335,3.923672,3.905399,3.877258,3.945966,4.19137,4.65052,5.262094,5.916527,6.418189,6.597186,6.330702,5.602592,4.52653,3.283067,2.095659,1.13178,0.480167,0.136576,0.004629,0.050148,0.209486,0.401859,0.56656,0.650954,0.646215,0.567418,0.441096,0.303764,0.178288,0.076548,0.008587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131008,0.274944,0.41626,0.506348,0.57093,0.60105,0.611524,0.616254,0.63527,0.687488,0.787933,0.940135,1.135843,1.352456,1.558574,1.723898,1.827947,1.874846,1.898007,1.966398,2.170855,2.614266,3.350703,4.407019,5.666551,6.993053,8.122211,8.842614,8.960754,8.411474,7.264011,5.70089,3.969814,2.361203,1.03382,0.013649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12636,0.258269,0.385994,0.465223,0.519397,0.540843,0.543472,0.540757,0.551447,0.593341,0.68039,0.816265,0.994212,1.194698,1.389686,1.550846,1.657129,1.709101,1.734136,1.794413,1.976361,2.3832,3.079028,4.107352,5.374868,6.765744,8.022302,8.925342,9.248101,8.885561,7.865231,6.338451,4.56572,2.824809,1.345182,0.246771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147 - Average,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17923,0.364876,0.510287,0.616752,0.676114,0.69475,0.684968,0.66915,0.676562,0.739652,0.887708,1.134643,1.474793,1.875557,2.284432,2.643642,2.900122,3.029917,3.042504,2.993541,2.976646,3.10342,3.463708,4.111638,4.98802,5.990514,6.900669,7.52381,7.670684,7.257856,6.320945,5.001888,3.515357,2.108346,0.937472,0.049829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
